i15,e01,c2,p35,l3,4378
i38,e04,c1,p32,l1,13
i17,e08,c5,p06,l3,1767
i38,e01,c1,p21,l3,1749
i14,e11,c5,p32,l3,1722
i38,e01,c1,p08,l3,1752
i38,e11,c1,p15,l2,1946
i63,e03,c1,p10,l3,1744
i19,e10,c5,p10,l3,2090
i38,e10,c4,p17,l3,1820
i38,e10,c1,p24,l2,67
i07,e11,c5,p15,l3,1814
i02,e04,c1,p15,l3,1810
i06,e10,c3,p10,l3,2250
i38,e09,c1,p03,l2,68
i38,e04,c1,p03,l1,71
i50,e09,c1,p35,l3,1725
i14,e08,c5,p16,l3,1828
i34,e03,c5,p14,l3,1754
i06,e10,c5,p15,l2,128
i06,e11,c5,p20,l2,1770
i34,e03,c5,p16,l3,1791
i24,e08,c1,p06,l3,1731
i17,e08,c5,p21,l3,1752
i34,e08,c5,p12,l3,1748
i38,e04,c1,p04,l1,31
i06,e02,c5,p01,l1,3
i38,e10,c4,p05,l4,1741
i17,e09,c5,p22,l3,1726
i06,e10,c5,p04,l2,72
i14,e09,c5,p17,l3,1723
i46,e11,c1,p24,l3,1740
i06,e05,c5,p14,l1,2
i38,e08,c4,p15,l2,2
i02,e09,c1,p12,l3,1761
i38,e11,c1,unknown,l2,1720
i38,e10,c4,p15,l3,1788
i21,e04,c1,p19,l3,1728
i06,e10,c5,p09,l2,22
i41,e11,c1,p07,l3,1726
i02,e01,c1,p28,l3,1724
i02,e01,c1,p24,l3,1738
i16,e09,c5,p07,l3,1722
i06,e10,c5,unknown,l3,1749
i41,e07,c1,p02,l3,1722
i38,e10,c4,p11,l1,3
i16,e05,c5,p24,l3,1721
i17,e09,c5,p20,l3,1720
i67,e01,c5,p10,l3,1722
i14,e09,c5,p06,l3,1724
i05,e06,c1,p05,l3,1726
i06,e10,c5,p02,l2,15
i06,e07,c5,p05,l2,3
i09,e09,c5,p12,l3,1720
i27,e09,c5,p21,l3,1720
i05,e12,c1,p07,l3,1724
i43,e09,c1,p18,l3,3440
i05,e12,c1,p01,l3,1727
i41,e07,c1,p22,l3,1720
i05,e08,c1,p13,l3,1720
i43,e01,c1,p08,l3,1723
i05,e03,c1,p07,l3,1721
i30,e01,c1,p03,l3,1722
i12,e01,c5,p12,l3,1721
i22,e05,c5,p05,l3,1721
i13,e04,c5,p01,l3,1720
i38,e12,c1,p05,l3,1720
i12,e04,c5,p14,l3,1720
i14,e08,c5,p28,l3,1721
i17,e09,c5,p09,l3,1720
i06,e10,c5,p33,l3,2042
i06,e10,c5,p23,l3,15411
i06,e12,c5,p12,l3,2025
i38,e10,c1,p10,l2,2004
i38,e08,c1,p10,l2,1665
i17,e08,c5,p17,l3,1758
i06,e11,c5,p12,l2,2053
i05,e12,c1,p10,l3,1846
i06,e10,c5,p07,l4,4032
i38,e11,c1,p17,l2,1913
i02,e01,c1,p19,l3,2242
i34,e08,c5,p32,l3,1741
i14,e04,c5,p14,l3,1744
i34,e03,c5,p09,l3,1736
i17,e04,c5,p28,l3,1746
i46,e01,c1,p35,l3,1831
i38,e10,c4,p12,l3,2085
i17,e08,c5,p12,l3,1754
i06,e09,c5,p32,l2,37
i07,e12,c5,p16,l3,1725
i07,e11,c5,p13,l3,1759
i14,e08,c5,p10,l3,1754
i44,e04,c3,p35,l3,1720
i63,e10,c1,p35,l2,68
i21,e09,c1,p19,l3,1731
i39,e01,c5,p04,l3,1729
i17,e11,c5,p07,l3,1768
i33,e03,c1,p17,l3,1720
i38,e10,c4,p04,l4,1729
i05,e12,c1,p21,l3,1725
i38,e06,c1,p30,l3,1745
i38,e08,c1,p35,l2,10
i12,e04,c5,p01,l3,1726
i38,e11,c4,p19,l2,1726
i39,e09,c5,p03,l3,1724
i05,e06,c1,p35,l3,1754
i39,e09,c5,p05,l3,1735
i38,e10,c7,p10,l2,1723
i05,e01,c1,p06,l3,1720
i01,e08,c1,p08,l3,1724
i05,e09,c1,p19,l3,1725
i16,e11,c5,p10,l3,1720
i01,e09,c1,p12,l3,1724
i02,e09,c1,p20,l3,1730
i23,e03,c5,p29,l3,1721
i38,e09,c7,p10,l2,1726
i66,e09,c3,p11,l3,1721
i47,e01,c4,p35,l3,1723
i38,e04,c1,p22,l1,2
i39,e09,c5,p23,l3,1720
i27,e01,c5,p35,l3,1724
i67,e10,c5,p21,l3,1723
i05,e06,c1,p17,l3,1722
i38,e10,c4,p14,l4,1728
i23,e08,c5,p12,l3,1721
i41,e09,c1,p19,l3,1721
i46,e09,c1,p05,l3,1720
i22,e05,c5,p10,l3,1721
i23,e03,c5,p13,l3,1721
i06,e05,c5,p22,l1,1
i06,e05,c5,p21,l1,3
i17,e01,c5,p13,l3,1723
i12,e09,c5,p05,l3,1721
i02,e11,c1,p32,l3,1720
i38,e05,c1,p17,l1,2
i38,e04,c7,p14,l1,1723
i14,e04,c5,p30,l3,1720
i43,e08,c1,p17,l3,1722
i21,e01,c1,p25,l3,1720
i27,e08,c5,p10,l3,1720
i07,e04,c5,p18,l3,3439
i06,e12,c5,p01,l3,2034
i06,e08,c5,p25,l2,822
i06,e09,c5,p10,l2,248
i06,e12,c5,p02,l3,1797
i38,e10,c1,p04,l4,2660
i17,e04,c5,p19,l3,1864
i16,e08,c5,p07,l3,1731
i38,e08,c1,p13,l2,456
i06,e12,c5,p20,l3,1780
i39,e09,c5,p35,l3,1780
i38,e10,c4,p10,l3,2611
i17,e04,c5,p16,l3,1786
i06,e10,c3,p20,l3,1755
i06,e10,c3,p02,l3,1775
i38,e06,c1,p09,l3,1891
i03,e09,c5,p05,l3,1720
i06,e10,c5,p04,l1,43
i38,e09,c1,p13,l2,214
i06,e10,c3,p17,l3,1768
i14,e04,c5,p05,l3,1729
i38,e10,c1,p22,l2,33
i38,e06,c1,p14,l3,1833
i02,e01,c1,p06,l3,1734
i42,e05,c3,p11,l3,1759
i39,e01,c5,p13,l3,1728
i17,e01,c5,p11,l3,1729
i05,e08,c1,p08,l3,1730
i38,e09,c1,p24,l2,46
i17,e09,c5,p23,l3,1725
i34,e04,c5,p24,l3,1767
i38,e10,c4,p01,l2,4
i16,e04,c5,p19,l3,1734
i38,e08,c1,p08,l2,95
i23,e01,c5,p01,l3,1721
i17,e09,c5,p04,l3,1726
i19,e03,c5,p35,l3,1726
i23,e03,c5,p21,l3,1750
i33,e03,c1,p07,l3,1720
i34,e08,c5,p11,l3,1740
i48,e11,c1,p19,l3,1730
i41,e08,c1,p15,l3,1732
i05,e08,c1,p07,l3,1739
i38,e08,c4,p01,l2,137
i17,e01,c5,p29,l3,1729
i14,e04,c5,p03,l3,1744
i17,e11,c5,p29,l3,1750
i06,e10,c3,p10,l1,1
i38,e04,c1,p16,l1,13
i24,e08,c1,p22,l3,1754
i14,e04,c5,p08,l3,1730
i48,e11,c1,p12,l3,1724
i07,e04,c5,p10,l3,1722
i17,e09,c5,p11,l3,1729
i39,e04,c5,p02,l3,1721
i05,e04,c1,p05,l3,1723
i06,e05,c5,p01,l1,4
i03,e04,c5,p29,l3,1735
i06,e07,c5,p07,l2,3
i05,e08,c1,p14,l3,1732
i38,e10,c1,p22,l1,6
i16,e08,c5,p23,l3,1720
i06,e05,c5,p02,l1,5
i14,e09,c5,p29,l3,1721
i16,e09,c5,p29,l3,1722
i17,e08,c5,p20,l3,1734
i48,e04,c1,p19,l3,1720
i43,e01,c1,p35,l3,1725
i07,e08,c5,p08,l3,1721
i23,e03,c5,p24,l3,1724
i46,e05,c1,p06,l3,1720
i16,e04,c5,p20,l3,1721
i46,e08,c4,p04,l3,1720
i06,e02,c5,p08,l1,1
i05,e07,c1,p01,l3,1720
i12,e04,c5,p12,l3,1721
i38,e11,c4,p25,l2,1720
i06,e02,c5,p19,l1,2
i23,e01,c5,p18,l3,3439
i43,e03,c1,p05,l3,1720
i29,e01,c5,p05,l3,1721
i12,e04,c5,p03,l3,1720
i38,e10,c1,p15,l3,18325
i06,e12,c5,p23,l3,1811
i38,e11,c1,p13,l2,1956
i06,e01,c5,p09,l3,1767
i02,e04,c1,p10,l3,2245
i06,e12,c5,p07,l3,1908
i17,e04,c5,p10,l3,1961
i61,e04,c1,p35,l3,1723
i39,e04,c5,p35,l3,1919
i34,e03,c5,p10,l3,2142
i47,e09,c1,p35,l3,1931
i17,e04,c5,p14,l3,1748
i01,e08,c1,p12,l3,1746
i38,e01,c1,p18,l3,3471
i12,e04,c5,p17,l3,1730
i34,e03,c5,p05,l3,1767
i46,e11,c1,p04,l3,1749
i34,e01,c5,p10,l3,1769
i42,e05,c5,p15,l3,1723
i17,e04,c5,p09,l3,1774
i06,e10,c5,p12,l1,66
i06,e10,c3,p15,l3,2334
i06,e10,c3,p19,l3,2011
i02,e08,c1,p29,l3,2002
i34,e03,c5,p13,l3,1780
i34,e08,c5,p28,l3,1720
i34,e03,c5,p04,l3,1763
i07,e01,c5,p35,l3,1739
i02,e01,c1,p29,l3,1764
i38,e09,c1,p14,l2,66
i12,e09,c5,p19,l3,1721
i16,e04,c5,p11,l3,1733
i49,e03,c1,p01,l3,1723
i27,e04,c3,p22,l3,1720
i38,e10,c1,p12,l1,46
i38,e10,c4,p32,l3,2195
i12,e01,c5,p03,l3,1720
i02,e04,c1,p08,l3,1741
i07,e01,c5,p18,l3,3442
i02,e01,c4,p32,l3,1722
i52,e09,c3,p10,l3,1724
i16,e08,c5,p13,l3,1730
i06,e02,c5,p10,l1,6
i38,e10,c1,p05,l1,32
i48,e09,c1,p35,l3,1720
i61,e08,c1,p35,l3,1774
i38,e10,c1,p06,l1,8
i30,e04,c1,p13,l3,1736
i38,e01,c1,p16,l3,1733
i34,e05,c5,p09,l3,1720
i100,e04,c5,p10,l3,1722
i06,e10,c3,p06,l3,1786
i16,e01,c5,p29,l3,1722
i41,e04,c1,p21,l3,1729
i06,e10,c5,p09,l1,32
i41,e11,c1,p16,l3,1722
i05,e12,c1,p12,l3,1731
i38,e12,c1,p16,l3,1737
i38,e11,c7,p10,l2,3441
i17,e08,c5,p24,l3,1725
i38,e10,c1,unknown,l4,1732
i67,e01,c5,p11,l3,1721
i31,e01,c1,p35,l3,1726
i05,e09,c1,p18,l3,3440
i30,e09,c1,p03,l3,1721
i37,e08,c5,p33,l3,1720
i02,e01,c1,p25,l3,1744
i67,e09,c5,p11,l3,1720
i27,e09,c5,p07,l3,1720
i16,e08,c5,p22,l3,1721
i41,e07,c1,p03,l3,1720
i14,e08,c3,p11,l3,1720
i30,e09,c1,p17,l3,1722
i13,e08,c5,p07,l3,1723
i09,e04,c5,p24,l3,1722
i08,e08,c1,p10,l3,1724
i41,e09,c1,p04,l3,1720
i67,e09,c5,p01,l3,1721
i34,e09,c5,p13,l3,1720
i63,e01,c1,p10,l3,1721
i02,e09,c4,p32,l3,1720
i06,e08,c5,p18,l2,3145
i30,e04,c1,p24,l3,1725
i06,e11,c5,p19,l2,2602
i66,e04,c3,p18,l3,3442
i38,e10,c1,p01,l4,5013
i06,e09,c5,p35,l2,71
i17,e04,c5,p01,l3,1810
i06,e10,c5,p18,l4,5069
i01,e11,c1,p35,l3,1733
i38,e11,c1,p28,l2,1754
i38,e01,c1,p02,l3,1751
i34,e03,c5,p12,l3,1794
i17,e09,c5,p16,l3,1728
i06,e10,c5,p13,l2,33
i06,e10,c5,p24,l2,46
i03,e04,c5,p15,l3,1725
i38,e09,c1,p29,l2,23
i17,e09,c5,p03,l3,1740
i38,e09,c1,p05,l2,73
i34,e09,c5,p10,l3,1778
i06,e10,c3,p21,l4,1733
i38,e10,c1,p20,l1,8
i16,e01,c5,p01,l3,1722
i66,e01,c3,p35,l3,1727
i38,e09,c1,p06,l2,16
i38,e11,c4,p07,l2,1724
i05,e08,c1,p04,l3,1726
i16,e04,c5,p29,l3,1725
i12,e04,c5,p13,l3,1726
i38,e10,c1,p33,l4,1723
i44,e09,c3,p24,l3,1720
i14,e08,c5,p02,l3,1754
i46,e11,c1,p17,l3,1720
i34,e04,c5,p13,l3,1721
i03,e09,c5,p35,l3,1720
i05,e03,c1,p19,l3,1723
i34,e03,c5,p08,l3,1728
i27,e04,c5,p18,l3,3439
i38,e07,c1,p11,l2,6
i09,e04,c5,p10,l3,1725
i01,e09,c1,p17,l3,1722
i03,e11,c5,p07,l3,1720
i01,e11,c1,p03,l3,1720
i12,e09,c5,p14,l3,1721
i05,e06,c1,p14,l3,1725
i13,e12,c5,p35,l3,1720
i06,e11,c3,p03,l2,1720
i16,e04,c5,p02,l3,1721
i14,e05,c5,p29,l3,1720
i06,e09,c3,p24,l2,1
i38,e11,c4,p14,l2,1720
i43,e01,c1,p24,l3,1720
i14,e08,c3,p35,l3,1720
i46,e01,c1,p14,l3,1720
i28,e08,c1,p35,l3,118125
i06,e10,c5,p11,l3,47574
i06,e12,c5,p16,l3,2234
i38,e10,c1,p25,l3,3281
i06,e10,c5,p13,l4,3651
i06,e12,c5,p15,l3,2241
i06,e04,c5,p09,l1,96
i38,e08,c1,p03,l2,406
i63,e10,c1,p35,l3,1751
i06,e01,c5,p19,l3,1992
i06,e04,c5,p14,l1,54
i39,e01,c5,p21,l3,1737
i46,e08,c1,p35,l3,2485
i38,e06,c1,p18,l3,3581
i06,e01,c5,p03,l3,1831
i06,e04,c5,p20,l1,32
i38,e01,c1,p24,l3,1751
i38,e01,c1,p03,l3,1788
i29,e09,c5,p35,l3,1733
i14,e08,c5,p19,l3,1898
i13,e08,c5,p24,l3,1724
i06,e10,c3,p16,l4,1720
i38,e10,c1,p10,l1,173
i06,e10,c5,p26,l4,1931
i05,e04,c1,p10,l3,1728
i38,e08,c1,p32,l2,68
i38,e10,c1,p11,l2,99
i49,e11,c1,p01,l3,1723
i06,e10,c5,p01,l1,76
i34,e08,c5,p05,l3,1733
i30,e01,c1,p17,l3,1720
i21,e03,c1,p13,l3,1726
i23,e09,c5,p10,l3,1731
i05,e12,c1,p15,l3,1727
i38,e10,c1,p29,l2,21
i23,e01,c5,p16,l3,1720
i21,e03,c1,p17,l3,1728
i05,e04,c1,p04,l3,1726
i01,e08,c1,p17,l3,1722
i38,e10,c1,p16,l1,26
i05,e12,c1,p05,l3,1735
i38,e06,c4,p10,l3,1733
i16,e01,c5,p10,l3,1726
i16,e01,c5,p24,l3,1729
i46,e09,c1,p01,l3,1723
i46,e08,c1,p28,l3,1726
i01,e08,c1,p24,l3,1725
i34,e04,c5,p16,l3,1723
i13,e12,c5,p16,l3,1720
i38,e10,c1,unknown,l3,1721
i05,e08,c1,p03,l3,1737
i05,e08,c1,p22,l3,1724
i38,e05,c1,p19,l1,2
i39,e09,c5,p08,l3,1726
i30,e09,c1,p13,l3,1727
i06,e02,c5,p24,l1,1
i20,e08,c5,p01,l3,1720
i27,e09,c5,p02,l3,1720
i04,e09,c3,p10,l3,1721
i05,e01,c1,p12,l3,1721
i21,e09,c1,p15,l3,1721
i41,e04,c1,p09,l3,1723
i38,e07,c1,p07,l2,4
i05,e03,c1,p05,l3,1720
i38,e10,c1,unknown,l4,1722
i46,e08,c1,p04,l3,1720
i73,e04,c3,p35,l3,1720
i29,e01,c5,p21,l3,1720
i06,e05,c5,p01,l1,1
i03,e04,c5,p24,l3,1720
i14,e11,c5,p17,l3,1720
i38,e10,c1,p17,l3,14094
i06,e10,c5,p22,l3,16435
i38,e10,c1,p11,l3,25011
i06,e08,c5,p05,l2,3416
i38,e10,c1,p03,l4,5433
i63,e10,c4,p10,l3,1735
i06,e04,c5,p16,l1,182
i39,e04,c5,p01,l3,1752
i06,e10,c5,p17,l4,3720
i38,e10,c4,p21,l3,2012
i38,e10,c4,p03,l3,2082
i38,e08,c1,p29,l2,101
i06,e10,c3,p23,l3,1917
i38,e06,c4,p16,l3,1734
i01,e09,c1,p35,l3,1770
i06,e12,c5,p13,l3,2036
i38,e06,c1,p29,l3,1878
i06,e10,c5,p19,l2,228
i38,e08,c1,p01,l2,274
i17,e11,c5,p21,l3,1795
i16,e01,c5,p17,l3,1725
i38,e07,c1,p10,l2,25
i17,e11,c5,p08,l3,1780
i06,e01,c5,p06,l3,1767
i38,e10,c4,p25,l3,1783
i83,e09,c3,p03,l3,1727
i03,e11,c5,p35,l3,1825
i13,e12,c5,p15,l3,1723
i02,e08,c1,p09,l3,1791
i02,e09,c1,p24,l3,1743
i06,e09,c5,p12,l2,57
i38,e12,c1,p13,l3,1720
i38,e10,c4,p19,l4,1807
i14,e08,c5,p22,l3,1789
i30,e01,c1,p07,l3,1724
i38,e07,c1,p17,l2,6
i41,e09,c1,p22,l3,1724
i34,e04,c5,p06,l3,1723
i18,e01,c1,p35,l3,1745
i38,e04,c7,p10,l1,1741
i17,e08,c5,p29,l3,1740
i23,e11,c5,p29,l3,1742
i25,e03,c5,p15,l3,1727
i38,e01,c1,p20,l3,1726
i38,e12,c1,p02,l3,1726
i06,e10,c3,p23,l2,1
i38,e10,c7,p19,l3,3450
i46,e07,c1,p19,l3,1720
i06,e10,c3,p35,l3,1722
i16,e08,c5,p17,l3,1739
i17,e08,c5,p15,l3,1753
i01,e08,c1,p23,l3,1726
i03,e04,c5,p07,l3,1720
i38,e01,c4,p07,l3,1720
i38,e01,c1,p23,l3,1733
i38,e10,c4,p17,l2,2
i41,e12,c1,p11,l3,1720
i06,e08,c3,p32,l2,1
i05,e07,c1,p03,l3,1721
i42,e05,c5,p04,l3,1721
i06,e04,c3,p14,l1,1
i67,e08,c5,p16,l3,1720
i06,e05,c5,p29,l1,1
i41,e01,c1,p11,l3,1721
i38,e07,c1,p22,l2,2
i14,e01,c5,p10,l3,1721
i34,e03,c5,p33,l3,1720
i20,e04,c5,p01,l3,1721
i39,e01,c5,p08,l3,1722
i21,e04,c1,p16,l3,1720
i38,e11,c4,p21,l2,1721
i38,e07,c1,p21,l2,2
i06,e09,c5,p30,l2,1
i41,e01,c1,p14,l3,1722
i41,e07,c1,p18,l3,3439
i05,e03,c1,p04,l3,1720
i05,e04,c1,p08,l3,1723
i38,e01,c4,p12,l3,1722
i05,e09,c1,p14,l3,1721
i30,e09,c1,p08,l3,1720
i42,e02,c3,p29,l3,1720
i34,e09,c5,p07,l3,1720
i06,e10,c3,p18,l1,1720
i34,e01,c5,p13,l3,1720
i46,e11,c1,p19,l3,1850
i06,e11,c5,p03,l2,2004
i06,e10,c5,p05,l3,59231
i17,e08,c5,p22,l3,1740
i38,e10,c1,p32,l4,2057
i38,e10,c1,p19,l2,227
i06,e04,c5,p21,l1,256
i06,e09,c5,p17,l2,73
i14,e08,c5,p29,l3,1874
i06,e08,c5,p32,l2,959
i06,e10,c5,p28,l4,2272
i06,e10,c3,p24,l3,1780
i41,e07,c1,p19,l3,1732
i06,e10,c3,p11,l3,1932
i38,e06,c1,p22,l3,1849
i38,e10,c4,p16,l4,1752
i06,e12,c5,p09,l3,1802
i05,e07,c1,p35,l3,1790
i38,e06,c1,p11,l3,2323
i06,e12,c5,p31,l3,1735
i14,e08,c5,p18,l3,3467
i01,e08,c1,p10,l3,1827
i13,e08,c5,p08,l3,1725
i17,e09,c5,p21,l3,1744
i12,e04,c5,p10,l3,1731
i23,e04,c5,p10,l3,1753
i38,e01,c1,p17,l3,1786
i38,e09,c1,p22,l2,8
i06,e10,c5,p03,l1,92
i17,e09,c5,p01,l3,1738
i38,e10,c1,p33,l2,2
i02,e01,c1,p04,l3,1863
i39,e09,c5,p11,l3,1731
i39,e01,c5,p09,l3,1723
i38,e10,c4,p06,l3,2171
i17,e08,c5,p04,l3,1738
i39,e01,c5,p18,l3,3452
i16,e04,c5,p15,l3,1728
i06,e10,c3,p29,l3,2098
i38,e10,c1,p13,l2,305
i38,e08,c1,p31,l2,8
i38,e09,c1,p07,l2,52
i14,e04,c5,p01,l3,1727
i67,e10,c5,p16,l3,1721
i39,e09,c5,p06,l3,1726
i34,e04,c5,p11,l3,1759
i05,e06,c1,p16,l3,1725
i46,e01,c1,p10,l3,1723
i34,e01,c5,p22,l3,1724
i21,e03,c1,p14,l3,1721
i38,e10,c1,p24,l1,16
i05,e04,c1,p14,l3,1734
i14,e09,c5,p03,l3,1733
i25,e03,c5,p10,l3,1721
i42,e05,c5,p19,l3,1725
i48,e11,c1,p01,l3,1722
i16,e09,c5,p04,l3,1720
i17,e08,c3,p19,l3,1723
i38,e08,c1,unknown,l2,13
i21,e12,c1,p09,l3,1721
i38,e10,c1,p33,l3,1724
i05,e03,c4,p35,l3,1720
i66,e04,c3,p15,l3,1720
i38,e10,c1,unknown,l3,1723
i38,e10,c4,p28,l4,1734
i39,e04,c5,p23,l3,1720
i02,e05,c1,p13,l3,1721
i14,e05,c5,p33,l3,1720
i16,e09,c5,p03,l3,1724
i14,e11,c5,p29,l3,1720
i14,e11,c5,p04,l3,1720
i33,e08,c1,p10,l3,1720
i38,e12,c1,p04,l3,1720
i39,e01,c5,p03,l3,1722
i41,e05,c1,p09,l3,1720
i29,e04,c5,p03,l3,1720
i38,e01,c4,p24,l3,1721
i39,e04,c5,p14,l3,1723
i23,e01,c5,p24,l3,1720
i02,e09,c4,p24,l3,1720
i38,e01,c1,p35,l3,1720
i06,e12,c5,p22,l3,1815
i06,e10,c5,p12,l3,40679
i14,e08,c5,p24,l3,1754
i12,e08,c5,p11,l3,1729
i38,e08,c1,p09,l2,68
i17,e04,c5,p11,l3,1752
i06,e04,c5,p11,l1,226
i38,e11,c1,p24,l2,1864
i06,e01,c5,p12,l3,1786
i06,e08,c5,p28,l2,708
i38,e10,c1,p02,l4,2750
i17,e08,c5,p16,l3,1785
i06,e04,c5,p24,l1,131
i18,e08,c1,p35,l3,1724
i02,e08,c1,p03,l3,2400
i06,e10,c5,p22,l2,23
i02,e09,c1,p09,l3,1907
i34,e08,c5,p01,l3,1766
i06,e10,c5,p32,l2,20
i38,e09,c1,p16,l2,34
i25,e10,c5,p10,l4,1744
i39,e04,c5,p19,l3,1748
i34,e01,c5,p08,l3,1728
i05,e06,c1,p21,l3,1728
i02,e11,c1,p06,l3,1722
i75,e09,c1,p35,l3,1722
i38,e10,c4,p35,l4,1729
i03,e08,c5,p04,l3,1730
i39,e04,c5,p25,l3,1723
i38,e04,c1,p14,l1,52
i38,e10,c7,p32,l3,3448
i05,e12,c1,p19,l3,1735
i17,e09,c5,p12,l3,1732
i06,e09,c5,p14,l2,36
i39,e01,c5,p02,l3,1748
i30,e01,c1,p35,l3,1730
i13,e03,c5,p08,l3,1721
i13,e08,c5,p10,l3,1767
i16,e08,c5,p15,l3,1734
i14,e11,c5,p22,l3,1722
i14,e01,c5,p01,l3,1721
i12,e01,c5,p04,l3,1721
i32,e11,c5,p10,l3,1728
i17,e11,c5,p24,l3,1727
i34,e01,c5,p21,l3,1731
i42,e05,c5,p10,l3,1724
i43,e01,c1,p21,l3,1721
i41,e07,c1,p11,l3,1738
i05,e08,c1,p19,l3,1725
i03,e08,c5,p05,l3,1723
i27,e01,c5,p06,l3,1721
i03,e01,c5,p21,l3,1721
i38,e10,c4,p15,l4,1729
i05,e06,c1,p23,l3,1721
i12,e08,c5,p04,l3,1726
i30,e09,c1,p09,l3,1721
i38,e08,c4,p16,l2,2
i03,e09,c5,p16,l3,1721
i38,e10,c7,p07,l3,3442
i38,e01,c4,p03,l3,1722
i42,e05,c5,p11,l3,1723
i38,e10,c1,p31,l2,2
i06,e11,c3,p11,l2,1721
i31,e08,c4,p35,l3,1720
i27,e10,c5,p13,l3,1720
i38,e10,c7,p15,l4,3441
i66,e04,c3,p24,l3,1721
i01,e04,c1,p19,l3,1720
i17,e09,c5,p14,l3,1721
i42,e05,c5,p21,l3,1720
i06,e10,c3,p06,l4,1721
i06,e02,c3,p21,l1,1
i16,e09,c5,p26,l3,1720
i38,e10,c1,p10,l3,106060
i06,e08,c5,p15,l2,3677
i06,e10,c5,p02,l3,19411
i38,e10,c1,p24,l4,2875
i06,e08,c5,p02,l2,744
i38,e10,c1,p05,l3,16102
i38,e08,c4,p05,l2,57
i74,e08,c5,p17,l3,1738
i17,e01,c5,p03,l3,1762
i38,e04,c1,p08,l1,26
i05,e08,c1,p35,l3,3170
i06,e01,c5,p05,l3,1908
i36,e08,c5,p35,l3,1754
i34,e03,c5,p06,l3,1756
i06,e04,c3,p11,l1,4
i06,e10,c5,p21,l4,4808
i38,e06,c1,p23,l3,1818
i06,e10,c5,p15,l1,145
i38,e01,c1,p25,l3,1732
i02,e01,c1,p03,l3,1957
i38,e06,c1,p25,l3,1800
i02,e01,c1,p05,l3,1762
i06,e11,c5,p32,l2,1790
i38,e10,c7,p19,l4,3444
i17,e09,c5,p05,l3,1739
i34,e04,c5,p17,l3,1735
i02,e09,c1,p13,l3,1831
i06,e05,c5,p15,l1,9
i34,e01,c5,p01,l3,1741
i41,e08,c1,p13,l3,1722
i67,e04,c5,p21,l3,1720
i06,e09,c5,p09,l2,48
i63,e10,c1,p01,l2,61
i17,e08,c5,p11,l3,1747
i07,e12,c5,p14,l3,1728
i14,e04,c5,p16,l3,1744
i34,e08,c5,p16,l3,1740
i46,e09,c1,p19,l3,1727
i42,e05,c3,p15,l3,1766
i16,e11,c5,p02,l3,1721
i05,e12,c1,p16,l3,1727
i06,e05,c5,p09,l1,6
i23,e09,c5,p19,l3,1720
i14,e12,c5,p05,l3,1732
i17,e09,c5,p13,l3,1728
i34,e04,c5,p07,l3,1725
i02,e04,c4,p32,l3,1722
i63,e11,c4,p10,l3,1721
i64,e01,c3,p35,l3,1720
i23,e04,c5,p29,l3,1730
i06,e10,c5,unknown,l4,1722
i06,e05,c5,p25,l1,2
i13,e03,c5,p03,l3,1720
i07,e09,c5,p18,l3,3440
i05,e03,c1,p21,l3,1721
i43,e03,c1,p15,l3,1721
i38,e08,c4,p28,l2,4
i43,e07,c1,p15,l3,1720
i38,e09,c4,p18,l2,1721
i46,e06,c4,p21,l3,1720
i21,e03,c1,p19,l3,1727
i41,e01,c1,p17,l3,1725
i30,e09,c1,p02,l3,1720
i43,e09,c1,p20,l3,1721
i12,e01,c5,p21,l3,1720
i38,e05,c1,p12,l1,2
i07,e01,c5,p21,l3,1725
i66,e04,c3,p16,l3,1720
i07,e11,c5,p03,l3,1720
i14,e05,c5,p11,l3,1720
i27,e04,c5,p16,l3,1720
i14,e11,c5,p07,l3,1720
i38,e10,c1,p19,l3,49318
i02,e08,c1,p11,l3,3163
i38,e10,c1,p31,l4,1812
i38,e01,c1,p05,l3,1838
i38,e01,c1,p10,l3,2122
i38,e11,c1,p11,l2,2067
i02,e04,c1,p21,l3,2017
i06,e08,c5,p01,l2,2419
i39,e04,c5,p10,l3,1779
i06,e12,c5,p32,l3,1769
i06,e10,c3,p16,l3,1729
i06,e11,c5,p16,l2,2069
i38,e10,c1,p19,l1,106
i13,e11,c5,p21,l3,1725
i38,e06,c1,p06,l3,1858
i38,e10,c1,p04,l2,29
i06,e04,c5,p18,l1,1846
i38,e08,c1,p20,l2,37
i17,e08,c5,p03,l3,1779
i02,e09,c1,p15,l3,1786
i06,e01,c5,p25,l3,1743
i01,e01,c1,p10,l3,1726
i22,e05,c5,p07,l3,1721
i17,e11,c5,p06,l3,1816
i06,e10,c5,p23,l2,26
i02,e04,c1,p22,l3,1727
i30,e09,c1,p07,l3,1721
i38,e10,c4,p20,l4,1729
i14,e08,c3,p19,l3,1722
i02,e01,c1,p08,l3,1724
i05,e12,c1,p13,l3,1732
i34,e08,c5,p29,l3,1732
i23,e04,c5,p03,l3,1722
i06,e10,c3,p09,l4,1725
i34,e04,c5,p32,l3,1755
i34,e04,c5,p09,l3,1722
i22,e02,c5,p35,l3,1725
i17,e08,c5,p02,l3,1728
i05,e08,c4,p35,l3,1725
i23,e01,c5,p07,l3,1720
i14,e01,c5,p04,l3,1727
i17,e01,c5,p35,l3,1723
i03,e04,c5,p16,l3,1728
i66,e04,c3,p05,l3,1720
i22,e05,c5,p11,l3,1727
i26,e01,c1,p35,l3,1720
